Typical Measured Spectrum of Semrock FF01-479/585 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
300.0	4.0481e-07
300.2	4.7584e-07
300.4	5.5933e-07
300.6	6.5747e-07
300.8	7.7284e-07
301.0	9.0844e-07
301.2	1.0678e-06
301.4	1.2552e-06
301.6	1.4754e-06
301.8	1.7343e-06
302.0	1.4209e-06
302.2	1.1281e-06
302.4	8.9564e-07
302.6	7.1109e-07
302.8	5.6457e-07
303.0	4.4823e-07
303.2	3.5587e-07
303.4	2.8254e-07
303.6	2.2432e-07
303.8	1.781e-07
304.0	1.6627e-07
304.2	1.6455e-07
304.4	1.6286e-07
304.6	1.6118e-07
304.8	1.5952e-07
305.0	1.5788e-07
305.2	1.5625e-07
305.4	1.5464e-07
305.6	1.5305e-07
305.8	1.5147e-07
306.0	1.5024e-07
306.2	1.4928e-07
306.4	1.4833e-07
306.6	1.4739e-07
306.8	1.4645e-07
307.0	1.4551e-07
307.2	1.4459e-07
307.4	1.4366e-07
307.6	1.4275e-07
307.8	1.4184e-07
308.0	1.5182e-07
308.2	1.8444e-07
308.4	2.2407e-07
308.6	2.7222e-07
308.8	3.3071e-07
309.0	4.0177e-07
309.2	4.8809e-07
309.4	5.9297e-07
309.6	7.2038e-07
309.8	8.7517e-07
310.0	1.0225e-06
310.2	8.239e-07
310.4	6.6384e-07
310.6	5.3488e-07
310.8	4.3098e-07
311.0	3.4725e-07
311.2	2.7979e-07
311.4	2.2544e-07
311.6	1.8165e-07
311.8	1.4636e-07
312.0	1.7662e-07
312.2	2.1922e-07
312.4	2.7209e-07
312.6	3.3771e-07
312.8	4.1916e-07
313.0	5.2024e-07
313.2	6.4571e-07
313.4	8.0144e-07
313.6	9.9472e-07
313.8	1.2346e-06
314.0	1.3455e-06
314.2	1.4059e-06
314.4	1.4689e-06
314.6	1.5348e-06
314.8	1.6036e-06
315.0	1.6754e-06
315.2	1.7506e-06
315.4	1.829e-06
315.6	1.911e-06
315.8	1.9967e-06
316.0	1.9637e-06
316.2	1.8468e-06
316.4	1.7368e-06
316.6	1.6334e-06
316.8	1.5362e-06
317.0	1.4447e-06
317.2	1.3587e-06
317.4	1.2778e-06
317.6	1.2017e-06
317.8	1.1301e-06
318.0	1.0086e-06
318.2	8.3196e-07
318.4	6.8629e-07
318.6	5.6612e-07
318.8	4.67e-07
319.0	3.8523e-07
319.2	3.1778e-07
319.4	2.6214e-07
319.6	2.1624e-07
319.8	1.7838e-07
320.0	1.534e-07
320.2	1.8481e-07
320.4	2.2266e-07
320.6	2.6825e-07
320.8	3.2317e-07
321.0	3.8935e-07
321.2	4.6907e-07
321.4	5.6512e-07
321.6	6.8083e-07
321.8	8.2024e-07
322.0	6.915e-07
322.2	5.6868e-07
322.4	4.6767e-07
322.6	3.846e-07
322.8	3.1629e-07
323.0	2.6011e-07
323.2	2.1391e-07
323.4	1.7592e-07
323.6	1.4467e-07
323.8	1.1897e-07
324.0	1.1188e-07
324.2	1.099e-07
324.4	1.0795e-07
324.6	1.0603e-07
324.8	1.0414e-07
325.0	1.0229e-07
325.2	1.0048e-07
325.4	9.8693e-08
325.6	9.694e-08
325.8	9.5219e-08
326.0	9.3879e-08
326.2	9.281e-08
326.4	9.1753e-08
326.6	9.0708e-08
326.8	8.9675e-08
327.0	8.8654e-08
327.2	8.7644e-08
327.4	8.6646e-08
327.6	8.5659e-08
327.8	8.4684e-08
328.0	8.4062e-08
328.2	8.3939e-08
328.4	8.3816e-08
328.6	8.3693e-08
328.8	8.357e-08
329.0	8.3447e-08
329.2	8.3324e-08
329.4	8.3202e-08
329.6	8.308e-08
329.8	8.2958e-08
330.0	8.4083e-08
330.2	9.5091e-08
330.4	1.0754e-07
330.6	1.2162e-07
330.8	1.3754e-07
331.0	1.5555e-07
331.2	1.7592e-07
331.4	1.9895e-07
331.6	2.2499e-07
331.8	2.5445e-07
332.0	2.7155e-07
332.2	2.8843e-07
332.4	3.0636e-07
332.6	3.2541e-07
332.8	3.4564e-07
333.0	3.6713e-07
333.2	3.8996e-07
333.4	4.1421e-07
333.6	4.3996e-07
333.8	4.6732e-07
334.0	4.035e-07
334.2	3.2574e-07
334.4	2.6297e-07
334.6	2.123e-07
334.8	1.7139e-07
335.0	1.3836e-07
335.2	1.117e-07
335.4	9.0173e-08
335.6	7.2797e-08
335.8	5.8769e-08
336.0	5.7879e-08
336.2	6.5636e-08
336.4	7.4432e-08
336.6	8.4408e-08
336.8	9.5721e-08
337.0	1.0855e-07
337.2	1.231e-07
337.4	1.396e-07
337.6	1.583e-07
337.8	1.7952e-07
338.0	1.8494e-07
338.2	1.6641e-07
338.4	1.4974e-07
338.6	1.3473e-07
338.8	1.2123e-07
339.0	1.0908e-07
339.2	9.8153e-08
339.4	8.8317e-08
339.6	7.9468e-08
339.8	7.1505e-08
340.0	6.4759e-08
340.2	6.1378e-08
340.4	5.8173e-08
340.6	5.5135e-08
340.8	5.2257e-08
341.0	4.9528e-08
341.2	4.6942e-08
341.4	4.4491e-08
341.6	4.2168e-08
341.8	3.9966e-08
342.0	3.9553e-08
342.2	3.9281e-08
342.4	3.9011e-08
342.6	3.8743e-08
342.8	3.8477e-08
343.0	3.8213e-08
343.2	3.795e-08
343.4	3.769e-08
343.6	3.7431e-08
343.8	3.7174e-08
344.0	3.6954e-08
344.2	3.6746e-08
344.4	3.654e-08
344.6	3.6336e-08
344.8	3.6132e-08
345.0	3.5929e-08
345.2	3.5728e-08
345.4	3.5528e-08
345.6	3.5328e-08
345.8	3.513e-08
346.0	3.5064e-08
346.2	3.5089e-08
346.4	3.5114e-08
346.6	3.5139e-08
346.8	3.5164e-08
347.0	3.5189e-08
347.2	3.5214e-08
347.4	3.5239e-08
347.6	3.5264e-08
347.8	3.5289e-08
348.0	3.9929e-08
348.2	5.3167e-08
348.4	7.0794e-08
348.6	9.4266e-08
348.8	1.2552e-07
349.0	1.6714e-07
349.2	2.2255e-07
349.4	2.9634e-07
349.6	3.9459e-07
349.8	5.2541e-07
350.0	6.7596e-07
350.2	6.9766e-07
350.4	7.2006e-07
350.6	7.4318e-07
350.8	7.6704e-07
351.0	7.9167e-07
351.2	8.1709e-07
351.4	8.4332e-07
351.6	8.704e-07
351.8	8.9834e-07
352.0	6.8089e-07
352.2	5.0056e-07
352.4	3.6799e-07
352.6	2.7053e-07
352.8	1.9888e-07
353.0	1.462e-07
353.2	1.0748e-07
353.4	7.9016e-08
353.6	5.8089e-08
353.8	4.2704e-08
354.0	4.6428e-08
354.2	5.7508e-08
354.4	7.1233e-08
354.6	8.8233e-08
354.8	1.0e-07
355.0	1.0e-07
355.2	1.0e-07
355.4	1.0e-07
355.6	1.0e-07
355.8	1.0e-07
356.0	1.0e-07
356.2	1.0e-07
356.4	1.0e-07
356.6	1.0e-07
356.8	1.0e-07
357.0	1.0e-07
357.2	1.0e-07
357.4	1.0e-07
357.6	1.0e-07
357.8	1.0e-07
358.0	1.0e-07
358.2	1.0e-07
358.4	1.0e-07
358.6	1.0e-07
358.8	1.0e-07
359.0	1.0e-07
359.2	1.0e-07
359.4	1.0e-07
359.6	1.0e-07
359.8	1.0581e-07
360.0	1.1294e-07
360.2	1.2056e-07
360.4	1.2869e-07
360.6	1.3738e-07
360.8	1.4664e-07
361.0	1.5653e-07
361.2	1.6709e-07
361.4	1.7836e-07
361.6	1.904e-07
361.8	1.813e-07
362.0	1.6984e-07
362.2	1.5911e-07
362.4	1.4906e-07
362.6	1.3964e-07
362.8	1.3081e-07
363.0	1.2255e-07
363.2	1.148e-07
363.4	1.0755e-07
363.6	1.0075e-07
363.8	1.0757e-07
364.0	1.168e-07
364.2	1.2683e-07
364.4	1.3772e-07
364.6	1.4955e-07
364.8	1.6239e-07
365.0	1.7633e-07
365.2	1.9147e-07
365.4	2.0791e-07
365.6	2.2576e-07
365.8	1.8609e-07
366.0	1.4855e-07
366.2	1.1858e-07
366.4	9.4656e-08
366.6	7.5559e-08
366.8	6.0315e-08
367.0	4.8147e-08
367.2	3.8433e-08
367.4	3.068e-08
367.6	2.449e-08
367.8	2.7293e-08
368.0	3.1487e-08
368.2	3.6326e-08
368.4	4.1909e-08
368.6	4.8349e-08
368.8	5.5779e-08
369.0	6.4351e-08
369.2	7.4241e-08
369.4	8.565e-08
369.6	9.8813e-08
369.8	9.5404e-08
370.0	9.063e-08
370.2	8.6095e-08
370.4	8.1787e-08
370.6	7.7694e-08
370.8	7.3806e-08
371.0	7.0113e-08
371.2	6.6605e-08
371.4	6.3272e-08
371.6	6.0106e-08
371.8	7.1729e-08
372.0	8.7156e-08
372.2	1.059e-07
372.4	1.2868e-07
372.6	1.5635e-07
372.8	1.8998e-07
373.0	2.3084e-07
373.2	2.8049e-07
373.4	3.4081e-07
373.6	4.1411e-07
373.8	3.978e-07
374.0	3.7615e-07
374.2	3.5569e-07
374.4	3.3633e-07
374.6	3.1803e-07
374.8	3.0072e-07
375.0	2.8436e-07
375.2	2.6889e-07
375.4	2.5426e-07
375.6	2.4042e-07
375.8	2.3604e-07
376.0	2.3222e-07
376.2	2.2846e-07
376.4	2.2477e-07
376.6	2.2113e-07
376.8	2.1755e-07
377.0	2.1403e-07
377.2	2.1057e-07
377.4	2.0716e-07
377.6	2.0381e-07
377.8	1.773e-07
378.0	1.534e-07
378.2	1.3272e-07
378.4	1.1483e-07
378.6	9.9352e-08
378.8	8.596e-08
379.0	7.4373e-08
379.2	6.4348e-08
379.4	5.5674e-08
379.6	4.817e-08
379.8	5.0619e-08
380.0	5.3534e-08
380.2	5.6616e-08
380.4	5.9875e-08
380.6	6.3322e-08
380.8	6.6968e-08
381.0	7.0823e-08
381.2	7.4901e-08
381.4	7.9213e-08
381.6	8.3773e-08
381.8	8.5331e-08
382.0	8.6847e-08
382.2	8.8389e-08
382.4	8.9959e-08
382.6	9.1556e-08
382.8	9.3182e-08
383.0	9.4837e-08
383.2	9.6522e-08
383.4	9.8236e-08
383.6	9.9981e-08
383.8	9.958e-08
384.0	9.9158e-08
384.2	9.8737e-08
384.4	9.8318e-08
384.6	9.7901e-08
384.8	9.7486e-08
385.0	9.7072e-08
385.2	9.666e-08
385.4	9.625e-08
385.6	9.5842e-08
385.8	9.6249e-08
386.0	9.666e-08
386.2	9.7071e-08
386.4	9.7485e-08
386.6	9.79e-08
386.8	9.8318e-08
387.0	9.8737e-08
387.2	9.9157e-08
387.4	9.958e-08
387.6	1.0e-07
387.8	1.0e-07
388.0	1.0e-07
388.2	1.0e-07
388.4	1.0e-07
388.6	1.0e-07
388.8	1.0e-07
389.0	1.0e-07
389.2	1.0e-07
389.4	1.0e-07
389.6	1.0019e-07
389.8	1.1039e-07
390.0	1.2163e-07
390.2	1.3402e-07
390.4	1.4766e-07
390.6	1.6269e-07
390.8	1.7926e-07
391.0	1.9751e-07
391.2	2.1761e-07
391.4	2.3977e-07
391.6	2.6149e-07
391.8	2.0569e-07
392.0	1.618e-07
392.2	1.2728e-07
392.4	1.0012e-07
392.6	7.8756e-08
392.8	6.1952e-08
393.0	4.8733e-08
393.2	3.8334e-08
393.4	3.0155e-08
393.6	2.4061e-08
393.8	2.6857e-08
394.0	2.9978e-08
394.2	3.3462e-08
394.4	3.735e-08
394.6	4.169e-08
394.8	4.6535e-08
395.0	5.1942e-08
395.2	5.7978e-08
395.4	6.4716e-08
395.6	7.1831e-08
395.8	7.1832e-08
396.0	7.1832e-08
396.2	7.1833e-08
396.4	7.1833e-08
396.6	7.1834e-08
396.8	7.1834e-08
397.0	7.1835e-08
397.2	7.1835e-08
397.4	7.1836e-08
397.6	7.2211e-08
397.8	7.8601e-08
398.0	8.5556e-08
398.2	9.3126e-08
398.4	1.0137e-07
398.6	1.1034e-07
398.8	1.201e-07
399.0	1.3072e-07
399.2	1.4229e-07
399.4	1.5488e-07
399.6	1.6633e-07
399.8	1.5004e-07
400.0	1.3534e-07
400.2	1.2209e-07
400.4	1.1013e-07
400.6	9.9346e-08
400.8	8.9616e-08
401.0	8.0839e-08
401.2	7.2922e-08
401.4	6.5781e-08
401.6	6.0352e-08
401.8	6.6902e-08
402.0	7.4164e-08
402.2	8.2213e-08
402.4	9.1136e-08
402.6	1.0103e-07
402.8	1.1199e-07
403.0	1.2415e-07
403.2	1.3762e-07
403.4	1.5256e-07
403.6	1.6671e-07
403.8	1.5832e-07
404.0	1.5035e-07
404.2	1.4279e-07
404.4	1.356e-07
404.6	1.2877e-07
404.8	1.2229e-07
405.0	1.1614e-07
405.2	1.1029e-07
405.4	1.0474e-07
405.6	1.0095e-07
405.8	1.107e-07
406.0	1.2139e-07
406.2	1.3312e-07
406.4	1.4597e-07
406.6	1.6007e-07
406.8	1.7553e-07
407.0	1.9248e-07
407.2	2.1107e-07
407.4	2.3145e-07
407.6	2.4264e-07
407.8	1.7889e-07
408.0	1.3189e-07
408.2	9.724e-08
408.4	7.1692e-08
408.6	5.2856e-08
408.8	3.8969e-08
409.0	2.8731e-08
409.2	2.1182e-08
409.4	1.5617e-08
409.6	1.2196e-08
409.8	1.4329e-08
410.0	1.6834e-08
410.2	1.9778e-08
410.4	2.3236e-08
410.6	2.7298e-08
410.8	3.2071e-08
411.0	3.7679e-08
411.2	4.4266e-08
411.4	5.2006e-08
411.6	5.994e-08
411.8	6.1042e-08
412.0	6.2164e-08
412.2	6.3307e-08
412.4	6.4471e-08
412.6	6.5656e-08
412.8	6.6863e-08
413.0	6.8092e-08
413.2	6.9344e-08
413.4	7.0618e-08
413.6	7.1013e-08
413.8	6.6251e-08
414.0	6.1808e-08
414.2	5.7664e-08
414.4	5.3797e-08
414.6	5.019e-08
414.8	4.6824e-08
415.0	4.3684e-08
415.2	4.0755e-08
415.4	3.8022e-08
415.6	3.6404e-08
415.8	4.0156e-08
416.0	4.4296e-08
416.2	4.8862e-08
416.4	5.3898e-08
416.6	5.9454e-08
416.8	6.5583e-08
417.0	7.2343e-08
417.2	7.98e-08
417.4	8.8026e-08
417.6	9.5612e-08
417.8	9.6049e-08
418.0	9.6489e-08
418.2	9.6931e-08
418.4	9.7375e-08
418.6	9.782e-08
418.8	9.8268e-08
419.0	9.8718e-08
419.2	9.917e-08
419.4	9.9624e-08
419.6	1.0194e-07
419.8	1.1373e-07
420.0	1.2689e-07
420.2	1.4158e-07
420.4	1.5796e-07
420.6	1.7624e-07
420.8	1.9663e-07
421.0	2.1938e-07
421.2	2.4476e-07
421.4	2.7309e-07
421.6	2.9493e-07
421.8	2.7621e-07
422.0	2.5868e-07
422.2	2.4227e-07
422.4	2.2689e-07
422.6	2.1249e-07
422.8	1.99e-07
423.0	1.8637e-07
423.2	1.7454e-07
423.4	1.6346e-07
423.6	1.5571e-07
423.8	1.5898e-07
424.0	1.6232e-07
424.2	1.6573e-07
424.4	1.6921e-07
