Typical Measured Spectrum of Semrock FF01-524/628 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
300.0	2.7992e-07
300.2	3.0552e-07
300.4	3.3346e-07
300.6	3.6395e-07
300.8	3.9724e-07
301.0	4.3356e-07
301.2	4.7321e-07
301.4	5.1648e-07
301.6	5.6371e-07
301.8	6.1526e-07
302.0	6.8171e-07
302.2	7.5607e-07
302.4	8.3853e-07
302.6	9.2999e-07
302.8	1.0314e-06
303.0	1.1439e-06
303.2	1.2687e-06
303.4	1.4071e-06
303.6	1.5605e-06
303.8	1.7307e-06
304.0	1.797e-06
304.2	1.8253e-06
304.4	1.854e-06
304.6	1.8831e-06
304.8	1.9127e-06
305.0	1.9428e-06
305.2	1.9734e-06
305.4	2.0044e-06
305.6	2.0359e-06
305.8	2.0679e-06
306.0	1.8018e-06
306.2	1.3917e-06
306.4	1.075e-06
306.6	8.3034e-07
306.8	6.4136e-07
307.0	4.954e-07
307.2	3.8265e-07
307.4	2.9557e-07
307.6	2.283e-07
307.8	1.7634e-07
308.0	1.6569e-07
308.2	2.1582e-07
308.4	2.8112e-07
308.6	3.6618e-07
308.8	4.7696e-07
309.0	6.2126e-07
309.2	8.0923e-07
309.4	1.0541e-06
309.6	1.373e-06
309.8	1.7883e-06
310.0	2.3112e-06
310.2	2.7719e-06
310.4	3.3243e-06
310.6	3.9869e-06
310.8	4.7816e-06
311.0	5.7346e-06
311.2	6.8776e-06
311.4	8.2484e-06
311.6	9.8925e-06
311.8	1.1864e-05
312.0	1.1835e-05
312.2	1.1692e-05
312.4	1.1551e-05
312.6	1.1412e-05
312.8	1.1274e-05
313.0	1.1138e-05
313.2	1.1004e-05
313.4	1.0871e-05
313.6	1.074e-05
313.8	1.061e-05
314.0	9.8837e-06
314.2	9.0422e-06
314.4	8.2724e-06
314.6	7.5681e-06
314.8	6.9238e-06
315.0	6.3344e-06
315.2	5.7951e-06
315.4	5.3017e-06
315.6	4.8504e-06
315.8	4.4374e-06
316.0	4.2018e-06
316.2	4.0791e-06
316.4	3.96e-06
316.6	3.8444e-06
316.8	3.7321e-06
317.0	3.6231e-06
317.2	3.5173e-06
317.4	3.4146e-06
317.6	3.3149e-06
317.8	3.2181e-06
318.0	3.3642e-06
318.2	3.9299e-06
318.4	4.5906e-06
318.6	5.3625e-06
318.8	6.2641e-06
319.0	7.3174e-06
319.2	8.5478e-06
319.4	9.985e-06
319.6	1.1664e-05
319.8	1.3625e-05
320.0	1.5793e-05
320.2	1.7191e-05
320.4	1.8713e-05
320.6	2.0369e-05
320.8	2.2172e-05
321.0	2.4135e-05
321.2	2.6272e-05
321.4	2.8598e-05
321.6	3.1129e-05
321.8	3.3885e-05
322.0	3.159e-05
322.2	2.903e-05
322.4	2.6678e-05
322.6	2.4516e-05
322.8	2.2529e-05
323.0	2.0703e-05
323.2	1.9025e-05
323.4	1.7484e-05
323.6	1.6067e-05
323.8	1.4765e-05
324.0	1.2587e-05
324.2	1.0444e-05
324.4	8.6653e-06
324.6	7.1898e-06
324.8	5.9655e-06
325.0	4.9497e-06
325.2	4.1069e-06
325.4	3.4076e-06
325.6	2.8274e-06
325.8	2.3459e-06
326.0	2.1289e-06
326.2	2.0758e-06
326.4	2.0241e-06
326.6	1.9736e-06
326.8	1.9244e-06
327.0	1.8764e-06
327.2	1.8296e-06
327.4	1.784e-06
327.6	1.7395e-06
327.8	1.6961e-06
328.0	1.6275e-06
328.2	1.5214e-06
328.4	1.4221e-06
328.6	1.3293e-06
328.8	1.2426e-06
329.0	1.1616e-06
329.2	1.0858e-06
329.4	1.015e-06
329.6	9.4874e-07
329.8	8.8685e-07
330.0	8.347e-07
330.2	8.3286e-07
330.4	8.3103e-07
330.6	8.292e-07
330.8	8.2737e-07
331.0	8.2555e-07
331.2	8.2373e-07
331.4	8.2192e-07
331.6	8.2011e-07
331.8	8.1831e-07
332.0	6.4842e-07
332.2	5.0429e-07
332.4	3.922e-07
332.6	3.0502e-07
332.8	2.3722e-07
333.0	1.8449e-07
333.2	1.4349e-07
333.4	1.1159e-07
333.6	8.6788e-08
333.8	6.7497e-08
334.0	7.6103e-08
334.2	9.7115e-08
334.4	1.2393e-07
334.6	1.5814e-07
334.8	2.0181e-07
335.0	2.5753e-07
335.2	3.2863e-07
335.4	4.1936e-07
335.6	5.3515e-07
335.8	6.829e-07
336.0	7.4876e-07
336.2	7.3554e-07
336.4	7.2255e-07
336.6	7.098e-07
336.8	6.9727e-07
337.0	6.8495e-07
337.2	6.7286e-07
337.4	6.6098e-07
337.6	6.4931e-07
337.8	6.3785e-07
338.0	5.8603e-07
338.2	4.8899e-07
338.4	4.0802e-07
338.6	3.4046e-07
338.8	2.8409e-07
339.0	2.3705e-07
339.2	1.978e-07
339.4	1.6504e-07
339.6	1.3772e-07
339.8	1.1491e-07
340.0	1.0089e-07
340.2	1.2867e-07
340.4	1.6409e-07
340.6	2.0926e-07
340.8	2.6688e-07
341.0	3.4035e-07
341.2	4.3404e-07
341.4	5.5354e-07
341.6	7.0593e-07
341.8	9.0027e-07
342.0	7.0238e-07
342.2	5.1729e-07
342.4	3.8097e-07
342.6	2.8058e-07
342.8	2.0664e-07
343.0	1.5219e-07
343.2	1.1208e-07
343.4	8.2546e-08
343.6	6.0794e-08
343.8	4.4773e-08
344.0	4.7965e-08
344.2	5.9232e-08
344.4	7.3145e-08
344.6	9.0327e-08
344.8	1.1154e-07
345.0	1.3775e-07
345.2	1.701e-07
345.4	2.1006e-07
345.6	2.594e-07
345.8	3.2034e-07
346.0	3.5882e-07
346.2	3.7228e-07
346.4	3.8624e-07
346.6	4.0073e-07
346.8	4.1576e-07
347.0	4.3135e-07
347.2	4.4753e-07
347.4	4.6431e-07
347.6	4.8173e-07
347.8	4.998e-07
348.0	5.0584e-07
348.2	4.9289e-07
348.4	4.8026e-07
348.6	4.6796e-07
348.8	4.5597e-07
349.0	4.4429e-07
349.2	4.3291e-07
349.4	4.2183e-07
349.6	4.1102e-07
349.8	4.0049e-07
350.0	3.837e-07
350.2	3.2283e-07
350.4	2.7162e-07
350.6	2.2853e-07
350.8	1.9227e-07
351.0	1.6177e-07
351.2	1.3611e-07
351.4	1.1451e-07
351.6	9.6347e-08
351.8	8.1062e-08
352.0	9.211e-08
352.2	1.0782e-07
352.4	1.2621e-07
352.6	1.4774e-07
352.8	1.7294e-07
353.0	2.0244e-07
353.2	2.3698e-07
353.4	2.774e-07
353.6	3.2471e-07
353.8	3.801e-07
354.0	3.3199e-07
354.2	2.6231e-07
354.4	2.0725e-07
354.6	1.6375e-07
354.8	1.2938e-07
355.0	1.0223e-07
355.2	8.077e-08
355.4	6.3817e-08
355.6	5.0423e-08
355.8	3.984e-08
356.0	4.1116e-08
356.2	5.1287e-08
356.4	6.3974e-08
356.6	7.9799e-08
356.8	9.9538e-08
357.0	1.2416e-07
357.2	1.5487e-07
357.4	1.9318e-07
357.6	2.4097e-07
357.8	3.0058e-07
358.0	3.3586e-07
358.2	3.2336e-07
358.4	3.1132e-07
358.6	2.9974e-07
358.8	2.8858e-07
359.0	2.7784e-07
359.2	2.675e-07
359.4	2.5755e-07
359.6	2.4796e-07
359.8	2.3873e-07
360.0	2.2458e-07
360.2	1.8209e-07
360.4	1.4765e-07
360.6	1.1972e-07
360.8	9.7068e-08
361.0	7.8705e-08
361.2	6.3816e-08
361.4	5.1744e-08
361.6	4.1955e-08
361.8	3.4018e-08
362.0	3.6679e-08
362.2	4.082e-08
362.4	4.5429e-08
362.6	5.0558e-08
362.8	5.6266e-08
363.0	6.2619e-08
363.2	6.9689e-08
363.4	7.7557e-08
363.6	8.6314e-08
363.8	9.6059e-08
364.0	9.1183e-08
364.2	8.1849e-08
364.4	7.3471e-08
364.6	6.5951e-08
364.8	5.92e-08
365.0	5.3141e-08
365.2	4.7701e-08
365.4	4.2819e-08
365.6	3.8436e-08
365.8	3.4502e-08
366.0	3.8549e-08
366.2	5.0309e-08
366.4	6.5655e-08
366.6	8.5682e-08
366.8	1.1182e-07
367.0	1.4593e-07
367.2	1.9044e-07
367.4	2.4854e-07
367.6	3.2435e-07
367.8	4.2329e-07
368.0	4.8471e-07
368.2	4.6672e-07
368.4	4.4939e-07
368.6	4.3271e-07
368.8	4.1664e-07
369.0	4.0118e-07
369.2	3.8628e-07
369.4	3.7194e-07
369.6	3.5813e-07
369.8	3.4484e-07
370.0	3.3603e-07
370.2	3.5237e-07
370.4	3.695e-07
370.6	3.8746e-07
370.8	4.063e-07
371.0	4.2606e-07
371.2	4.4677e-07
371.4	4.685e-07
371.6	4.9127e-07
371.8	5.1516e-07
372.0	4.0279e-07
372.2	3.0538e-07
372.4	2.3152e-07
372.6	1.7553e-07
372.8	1.3308e-07
373.0	1.0089e-07
373.2	7.6492e-08
373.4	5.7993e-08
373.6	4.3967e-08
373.8	3.3334e-08
374.0	3.1076e-08
374.2	3.0982e-08
374.4	3.0888e-08
374.6	3.0795e-08
374.8	3.0701e-08
375.0	3.0608e-08
375.2	3.0515e-08
375.4	3.0423e-08
375.6	3.0331e-08
375.8	3.0239e-08
376.0	3.3883e-08
376.2	4.0977e-08
376.4	4.9555e-08
376.6	5.993e-08
376.8	7.2476e-08
377.0	8.7649e-08
377.2	1.06e-07
377.4	1.2819e-07
377.6	1.5502e-07
377.8	1.8748e-07
378.0	1.9991e-07
378.2	1.8333e-07
378.4	1.6812e-07
378.6	1.5418e-07
378.8	1.4139e-07
379.0	1.2966e-07
379.2	1.1891e-07
379.4	1.0905e-07
379.6	1.0e-07
379.8	9.1709e-08
380.0	8.6796e-08
380.2	9.7552e-08
380.4	1.0964e-07
380.6	1.2323e-07
380.8	1.385e-07
381.0	1.5566e-07
381.2	1.7495e-07
381.4	1.9663e-07
381.6	2.21e-07
381.8	2.4838e-07
382.0	2.2037e-07
382.2	1.8901e-07
382.4	1.6212e-07
382.6	1.3905e-07
382.8	1.1927e-07
383.0	1.023e-07
383.2	8.7746e-08
383.4	7.5262e-08
383.6	6.4554e-08
383.8	5.537e-08
384.0	5.9355e-08
384.2	6.9244e-08
384.4	8.078e-08
384.6	9.4239e-08
384.8	1.0994e-07
385.0	1.2826e-07
385.2	1.4962e-07
385.4	1.7455e-07
385.6	2.0363e-07
385.8	2.3756e-07
386.0	2.4933e-07
386.2	2.4278e-07
386.4	2.3639e-07
386.6	2.3018e-07
386.8	2.2413e-07
387.0	2.1824e-07
387.2	2.125e-07
387.4	2.0692e-07
387.6	2.0148e-07
387.8	1.9618e-07
388.0	1.9709e-07
388.2	2.0605e-07
388.4	2.1541e-07
388.6	2.2519e-07
388.8	2.3542e-07
389.0	2.4612e-07
389.2	2.573e-07
389.4	2.6899e-07
389.6	2.8121e-07
389.8	2.9399e-07
390.0	2.924e-07
390.2	2.1927e-07
390.4	1.6443e-07
390.6	1.2331e-07
390.8	9.2471e-08
391.0	6.9344e-08
391.2	5.2001e-08
391.4	3.8996e-08
391.6	2.9243e-08
391.8	2.193e-08
392.0	2.5262e-08
392.2	3.0854e-08
392.4	3.7684e-08
392.6	4.6027e-08
392.8	5.6216e-08
393.0	6.8661e-08
393.2	8.3862e-08
393.4	1.0243e-07
393.6	1.251e-07
393.8	1.528e-07
394.0	1.6421e-07
394.2	1.6871e-07
394.4	1.7333e-07
394.6	1.7808e-07
394.8	1.8296e-07
395.0	1.8798e-07
395.2	1.9313e-07
395.4	1.9843e-07
395.6	2.0387e-07
395.8	2.0946e-07
396.0	2.0704e-07
396.2	1.9944e-07
396.4	1.9212e-07
396.6	1.8507e-07
396.8	1.7827e-07
397.0	1.7173e-07
397.2	1.6543e-07
397.4	1.5935e-07
397.6	1.5351e-07
397.8	1.4787e-07
398.0	1.507e-07
398.2	1.6386e-07
398.4	1.7818e-07
398.6	1.9375e-07
398.8	2.1068e-07
399.0	2.2908e-07
399.2	2.491e-07
399.4	2.7086e-07
399.6	2.9453e-07
399.8	3.2026e-07
400.0	3.4069e-07
400.2	3.2436e-07
400.4	3.0881e-07
400.6	2.94e-07
400.8	2.7991e-07
401.0	2.6649e-07
401.2	2.5372e-07
401.4	2.4155e-07
401.6	2.2997e-07
401.8	2.1895e-07
402.0	2.1627e-07
402.2	2.1471e-07
402.4	2.1315e-07
402.6	2.1161e-07
402.8	2.1007e-07
403.0	2.0855e-07
403.2	2.0704e-07
403.4	2.0554e-07
403.6	2.0405e-07
403.8	2.0257e-07
404.0	1.7117e-07
404.2	1.3686e-07
404.4	1.0944e-07
404.6	8.7506e-08
404.8	6.997e-08
405.0	5.5948e-08
405.2	4.4736e-08
405.4	3.5771e-08
405.6	2.8602e-08
405.8	2.2871e-08
406.0	2.0884e-08
406.2	2.0759e-08
406.4	2.0634e-08
406.6	2.0511e-08
406.8	2.0388e-08
407.0	2.0266e-08
407.2	2.0144e-08
407.4	2.0024e-08
407.6	1.9904e-08
407.8	1.9785e-08
408.0	2.0787e-08
408.2	2.3193e-08
408.4	2.5877e-08
408.6	2.8871e-08
408.8	3.2212e-08
409.0	3.594e-08
409.2	4.0099e-08
409.4	4.474e-08
409.6	4.9917e-08
409.8	5.5693e-08
410.0	5.9568e-08
410.2	5.2208e-08
410.4	4.5758e-08
410.6	4.0104e-08
410.8	3.5149e-08
411.0	3.0806e-08
411.2	2.7e-08
411.4	2.3664e-08
411.6	2.074e-08
411.8	1.8177e-08
412.0	1.7726e-08
412.2	1.7655e-08
412.4	1.7583e-08
412.6	1.7512e-08
412.8	1.7441e-08
413.0	1.7371e-08
413.2	1.7301e-08
413.4	1.7231e-08
413.6	1.7161e-08
413.8	1.7092e-08
414.0	2.0568e-08
414.2	2.6791e-08
414.4	3.4896e-08
414.6	4.5453e-08
414.8	5.9203e-08
415.0	7.7114e-08
415.2	1.0044e-07
415.4	1.3083e-07
415.6	1.7041e-07
415.8	2.2197e-07
416.0	2.1255e-07
416.2	1.6214e-07
416.4	1.2369e-07
416.6	9.4353e-08
416.8	7.1976e-08
417.0	5.4906e-08
417.2	4.1884e-08
417.4	3.1951e-08
417.6	2.4373e-08
417.8	1.8593e-08
418.0	1.6933e-08
418.2	1.9151e-08
418.4	2.1659e-08
418.6	2.4496e-08
418.8	2.7705e-08
419.0	3.1333e-08
419.2	3.5438e-08
419.4	4.0079e-08
419.6	4.5329e-08
419.8	5.1266e-08
420.0	5.5473e-08
420.2	4.799e-08
420.4	4.1517e-08
420.6	3.5917e-08
420.8	3.1072e-08
421.0	2.688e-08
421.2	2.3255e-08
421.4	2.0118e-08
421.6	1.7404e-08
421.8	1.5056e-08
422.0	1.5417e-08
422.2	1.6226e-08
422.4	1.7078e-08
422.6	1.7974e-08
422.8	1.8917e-08
423.0	1.9909e-08
423.2	2.0954e-08
423.4	2.2053e-08
423.6	2.3211e-08
423.8	2.4428e-08
