wavelength,mApple ex,mApple em
300,0.2221,
301,0.1939,
302,0.1852,
303,0.1502,
304,0.1539,
305,0.1307,
306,0.1241,
307,0.1064,
308,0.1047,
309,0.0964,
310,0.0893,
311,0.0956,
312,0.0947,
313,0.0998,
314,0.1023,
315,0.1048,
316,0.1072,
317,0.1097,
318,0.1122,
319,0.1147,
320,0.1172,
321,0.1161,
322,0.1213,
323,0.1264,
324,0.1316,
325,0.141,
326,0.1504,
327,0.1492,
328,0.1537,
329,0.1583,
330,0.1628,
331,0.17,
332,0.1771,
333,0.1862,
334,0.1953,
335,0.2044,
336,0.2312,
337,0.2359,
338,0.2487,
339,0.2618,
340,0.2663,
341,0.2617,
342,0.2595,
343,0.2591,
344,0.2514,
345,0.2432,
346,0.2413,
347,0.2314,
348,0.2069,
349,0.2035,
350,0.1797,
351,0.1764,
352,0.1586,
353,0.1622,
354,0.1438,
355,0.1475,
356,0.1295,
357,0.1291,
358,0.1316,
359,0.1316,
360,0.1252,
361,0.1237,
362,0.1222,
363,0.1206,
364,0.1202,
365,0.1192,
366,0.1158,
367,0.1124,
368,0.109,
369,0.1095,
370,0.0962,
371,0.0936,
372,0.0929,
373,0.081,
374,0.0806,
375,0.0802,
376,0.0748,
377,0.0695,
378,0.0641,
379,0.0638,
380,0.0603,
381,0.054,
382,0.0483,
383,0.0493,
384,0.0462,
385,0.0431,
386,0.0401,
387,0.037,
388,0.038,
389,0.0336,
390,0.0277,
391,0.0245,
392,0.0229,
393,0.0219,
394,0.0209,
395,0.0196,
396,0.018,
397,0.0163,
398,0.0149,
399,0.0138,
400,0.0125,
401,0.0094,
402,0.007,
403,0.0069,
404,0.0069,
405,0.0069,
406,0.0069,
407,0.0069,
408,0.0069,
409,0.0069,
410,0.0069,
411,0.0069,
412,0.0072,
413,0.0092,
414,0.0118,
415,0.013,
416,0.0111,
417,0.0067,
418,0.007,
419,0.0069,
420,0.0074,
421,0.0082,
422,0.0093,
423,0.0101,
424,0.0104,
425,0.0103,
