frame,dF_F
1,8.9363
2,8.6465
3,8.3813
4,8.0696
5,7.9566
6,7.7703
7,7.5428
8,7.4991
9,7.3473
10,7.1448
11,7.1388
12,7.0543
13,7.2624
14,10.1943
15,9.7868
16,9.8339
17,10.0752
18,9.9736
19,9.9561
20,9.6067
21,9.3654
22,9.1092
23,8.8409
24,8.7669
25,8.5126
26,8.2628
27,8.1522
28,7.9396
29,7.7354
30,7.7446
31,8.416
32,10.7429
33,10.9185
34,11.2123
35,11.2205
36,11.3682
37,11.3257
38,11.5786
39,11.0377
40,10.5682
41,10.1656
42,10.176
43,10.1953
44,9.892
45,9.6925
46,9.5195
47,9.3068
48,9.229
49,9.2428
50,9.1093
51,8.9486
52,8.8287
53,8.6949
54,8.472
55,8.3375
56,8.2455
57,8.1471
58,8.0099
59,7.9704
60,7.93
61,7.7912
62,7.71
63,7.666
64,7.4614
65,7.3973
66,7.299
67,7.1233
68,7.1334
69,7.0459
70,6.8861
71,6.8549
72,6.675
73,6.5834
74,6.6018
75,6.4754
76,6.465
77,6.4108
78,6.2933
79,6.2938
80,6.0858
81,6.1491
82,6.0196
83,5.8792
84,5.8212
85,5.6535
86,5.6521
87,5.4066
88,5.4012
89,5.1878
90,5.3028
91,5.9867
92,6.4879
93,6.8633
94,7.0799
95,8.1681
96,8.3807
97,8.5048
98,8.5862
99,8.5195
100,8.2479
101,7.9925
102,7.839
103,7.5217
104,7.3583
105,7.1515
106,6.7809
107,6.6106
108,6.4879
109,6.3544
110,6.307
111,6.2589
112,6.6517
113,6.7298
114,6.5127
115,6.332
116,6.0791
117,5.9796
118,5.8928
119,5.6957
120,5.5638
121,5.5274
122,5.4804
123,5.4012
124,5.5654
125,5.5379
126,5.4378
127,5.2926
128,5.2682
129,5.2611
130,5.1844
131,5.1522
132,5.1571
133,5.1056
134,4.9677
135,4.9621
136,5.0056
137,5.2224
138,5.4615
139,5.4462
140,5.3905
141,5.2631
142,5.2853
143,5.2842
144,5.1609
145,5.4518
146,5.49
147,5.3759
148,5.239
149,5.2066
150,5.2274
151,5.0592
152,5.0004
153,5.0846
154,5.218
155,5.1375
156,5.3538
157,6.697
158,7.9496
159,8.2006
160,8.2407
161,8.103
162,7.8603
163,7.5446
164,7.4217
165,7.2959
166,7.2165
167,7.0609
168,6.9255
169,6.8319
170,6.5931
171,6.4903
172,6.5158
173,6.7679
174,7.8952
175,8.375
176,8.4798
177,8.2975
178,8.9124
179,9.1874
180,9.2852
181,9.3889
182,9.9299
183,10.1827
184,10.7052
185,10.6195
186,10.9813
187,12.6203
188,12.8944
189,13.4952
190,14.3639
191,15.4149
192,15.0014
193,14.6576
194,14.0067
195,13.358
196,12.8739
197,12.4135
198,12.0588
199,11.7015
200,11.3916
201,11.1658
202,10.861
203,10.5731
204,10.3186
205,10.0343
206,9.778
207,9.6426
208,9.4483
209,9.2632
210,9.0995
211,8.9234
212,8.7424
213,8.5733
214,8.501
215,8.3545
216,8.1757
217,8.0846
218,7.987
219,7.7876
220,7.6761
221,7.6297
222,7.5408
223,7.4586
224,7.4204
225,7.3317
226,7.2392
227,7.198
228,7.1106
229,6.9355
230,6.9272
231,6.9037
232,6.7823
233,6.7645
234,6.7327
235,6.6268
236,6.5622
237,6.4706
238,6.3584
239,6.3442
240,6.3034
241,6.2306
242,6.1202
243,6.0699
244,5.9394
245,5.9088
246,5.8637
247,5.7457
248,5.6796
249,5.6869
250,5.621
251,5.5192
252,5.4885
253,5.4522
254,5.3958
255,5.3821
256,5.3466
257,5.2847
258,5.2654
259,5.2501
260,5.6732
261,6.5618
262,7.1956
263,8.2624
264,8.4519
265,8.5066
266,9.039
267,9.4849
268,9.4647
269,9.6382
270,9.8636
271,10.087
272,10.0464
273,10.3257
274,10.9733
275,12.3898
276,11.9914
277,11.8724
278,11.7928
279,11.4734
280,11.1611
281,10.6418
282,10.2909
283,9.9892
284,9.6665
285,9.3645
286,9.0858
287,8.8553
288,8.5613
289,8.2418
290,8.0868
291,7.9281
292,7.7144
293,7.6265
294,7.4899
295,7.3479
296,7.2251
297,7.1359
298,7.5488
299,8.5598
300,8.9148
301,9.0428
302,9.1887
303,9.2831
304,9.2188
305,9.0258
306,8.836
307,8.5472
308,8.4722
309,9.1384
310,9.2743
311,10.8713
312,13.2696
313,13.7517
314,14.3391
315,14.7822
316,14.2184
317,13.6436
318,13.058
319,12.5716
320,14.2287
321,15.3482
322,14.6191
323,13.9838
324,13.5187
325,12.8117
326,12.2958
327,11.6876
328,11.3944
329,10.7635
330,10.4667
331,10.0515
332,9.68
333,9.4091
334,9.0439
335,8.9585
336,8.5873
337,8.5042
338,8.2183
339,8.0332
340,7.8972
341,7.5904
342,7.4319
343,7.1167
344,6.9212
345,6.7808
346,6.5218
347,6.4906
348,6.1823
349,6.0899
350,5.9256
351,5.7232
352,5.6424
353,5.3652
354,5.3252
355,5.0525
356,4.9212
357,4.8092
358,4.5557
359,4.5931
360,4.3808
361,4.2572
362,4.153
363,3.9638
364,3.9796
365,3.7498
366,3.5948
367,3.4957
368,3.2506
369,3.2667
370,3.1483
371,3.0401
372,2.984
373,2.7371
374,2.8197
375,2.7327
376,2.5639
377,2.5604
378,2.3101
379,3.6991
