frame,dF_F
1,4.372
2,4.075
3,3.8356
4,3.8345
5,3.6553
6,3.47
7,3.5308
8,3.3179
9,3.1458
10,3.2275
11,3.0458
12,2.8905
13,3.0077
14,2.9022
15,2.9398
16,3.0409
17,2.9143
18,2.9164
19,3.0802
20,2.8792
21,2.8625
22,2.8772
23,2.7514
24,2.6722
25,2.7443
26,2.7395
27,2.6764
28,2.6295
29,2.5159
30,2.5009
31,2.4619
32,2.346
33,2.3287
34,2.2729
35,2.2432
36,2.5218
37,4.3634
38,7.282
39,12.0425
40,14.1642
41,15.6166
42,14.3147
43,13.5145
44,12.9289
45,12.5407
46,10.553
47,9.5181
48,8.5365
49,7.6466
50,7.0176
51,6.2565
52,5.7806
53,5.4191
54,4.9863
55,4.7443
56,4.514
57,4.3027
58,4.1109
59,3.8773
60,3.7829
61,3.6063
62,3.4088
63,3.3889
64,3.1604
65,3.0586
66,3.0473
67,2.7866
68,2.7554
69,2.7357
70,2.5408
71,2.5684
72,2.4649
73,2.4174
74,2.4383
75,2.3514
76,2.3533
77,2.2657
78,2.1608
79,2.2241
80,2.0727
81,2.126
82,2.1549
83,2.0536
84,2.1329
85,2.1813
86,2.1616
87,2.1939
88,2.0907
89,2.1077
90,2.4119
91,2.5356
92,2.3757
93,2.2956
94,2.9095
95,4.4941
96,4.218
97,4.1048
98,3.7336
99,4.1049
100,4.2426
101,4.282
102,5.7309
103,5.528
104,4.7432
105,4.1293
106,3.685
107,3.5108
108,3.1262
109,2.9976
110,2.8427
111,2.5795
112,2.5279
113,2.3529
114,2.2117
115,2.1244
116,2.0154
117,1.9864
118,1.9452
119,1.9452
120,1.8953
121,1.7827
122,1.8674
123,1.7039
124,1.6286
125,1.6775
126,1.5702
127,1.5338
128,1.4686
129,1.4194
130,1.3733
131,1.3084
132,1.3343
133,1.241
134,1.211
135,1.269
136,1.1088
137,1.1861
138,1.2212
139,1.1143
140,1.1901
141,1.1429
142,1.1262
143,1.0856
144,1.0377
145,1.0367
146,0.958
147,1.0354
148,0.9954
149,1.0979
150,1.1934
151,1.0447
152,1.1271
153,1.0984
154,1.1111
155,1.1065
156,0.995
157,1
158,0.9494
159,1.1307
160,1.9849
161,5.644
162,10.5215
163,12.0372
164,14.7038
165,16.8246
166,17.0403
167,17.6955
168,15.2716
169,12.9581
170,10.9409
171,9.1915
172,7.8755
173,6.9801
174,6.4246
175,5.7313
176,5.2616
177,4.9777
178,4.5066
179,4.2852
180,4.053
181,3.7087
182,3.6667
183,3.341
184,3.169
185,3.09
186,2.8134
187,2.7748
188,2.6278
189,2.4257
190,2.4588
191,2.2583
192,2.1574
193,2.1261
194,1.9465
195,1.9435
196,1.8335
197,1.6913
198,1.6855
199,1.585
200,1.5348
201,1.4707
202,1.3887
203,1.3854
204,1.2936
205,1.2754
206,1.2176
207,1.1326
208,1.1642
209,1.025
210,1.0024
211,1.0218
212,0.8847
213,0.9398
214,0.851
215,0.7952
216,0.927
217,0.7271
218,0.7425
219,0.818
220,0.6502
221,0.7489
222,0.6952
223,0.5993
224,0.7581
225,0.6268
226,0.6401
227,0.6978
228,0.5826
229,0.7064
230,0.6602
231,0.6231
232,0.858
233,0.7661
234,0.8137
235,0.7814
236,0.7226
237,0.8049
238,0.9423
239,0.9311
240,1.0471
241,1.1142
242,1.0104
243,1.1144
244,1.3234
245,1.3302
246,1.3726
247,1.2223
248,1.0985
249,1.0923
250,0.9705
251,0.9456
252,0.9459
253,0.8216
254,0.8414
255,0.7848
256,0.7192
257,0.7315
258,0.6523
259,0.6833
260,0.5915
261,0.561
262,0.5981
263,0.4483
264,0.4689
265,0.4543
266,0.3973
267,0.4969
268,0.3869
269,0.3943
270,0.4301
271,0.2786
272,0.3843
273,0.3206
274,0.2626
275,0.4006
276,0.2276
277,0.2618
278,0.2909
279,0.1725
280,0.2862
281,0.2341
282,0.1391
283,0.2941
284,0.1485
285,0.0893
286,0.2041
287,0.0676
288,0.0945
289,0.1361
290,0.0288
291,0.1521
292,0.0735
293,0.0367
294,0.1566
295,0.072
296,0.0523
297,0.096
298,-0.0083
299,0.0102
300,0.0033
301,-0.1057
302,-0.0095
303,-0.0381
304,-0.1109
305,-0.0189
306,-0.0334
307,-0.0394
308,0.0241
309,-0.0366
310,-0.0273
311,-0.0679
312,-0.1215
313,-0.0394
314,-0.1119
315,-0.1029
316,-0.0741
317,-0.192
318,-0.1504
319,-0.1868
320,-0.2322
321,-0.1047
322,-0.1796
323,-0.1746
324,-0.0512
325,-0.1969
326,-0.1493
327,-0.0497
328,-0.1722
329,-0.002
330,0.1196
331,0.3164
332,2.2778
333,5.0276
334,5.3731
335,6.0608
336,5.4297
337,4.4302
338,3.968
339,3.8798
340,3.7812
341,3.2089
342,2.6792
343,2.5377
344,2.4064
345,2.2668
346,2.4349
347,2.7286
348,3.5895
349,5.1459
350,5.0011
351,4.5339
352,4.1709
353,3.7564
354,3.3038
355,2.9092
356,2.4252
357,2.1566
358,2.0318
359,1.7261
360,1.6706
361,1.6211
362,1.3519
363,1.3129
364,1.308
365,1.0903
366,1.0193
367,1.0131
368,0.7819
369,0.7667
370,0.775
371,0.5447
372,0.5572
373,0.5539
374,0.3832
375,0.4126
376,0.4287
377,0.2364
378,0.2276
379,0.3516
380,0.183
381,0.1429
382,0.253
383,0.1224
384,0.0932
385,0.2441
386,0.1223
387,0.0756
388,0.1534
389,0.0417
390,0.0545
391,0.1491
392,0.0019
393,0.0173
394,0.0245
395,-0.0796
396,0.0343
397,-0.0408
398,-0.1462
399,-0.0138
400,-0.1504
401,-0.1421
402,0.0885
403,-0.1657
404,-0.2162
405,-0.1314
406,-0.31
407,-0.2545
408,-0.2453
409,-0.3886
410,-0.3258
411,-0.3275
412,-0.4372
413,-0.352
414,-0.2956
415,-0.4316
416,-0.3765
417,-0.3678
418,-0.5338
419,-0.4828
420,-0.465
421,-0.6109
422,-0.5083
423,-0.5435
424,-0.6439
425,-0.529
426,-0.407
427,-0.5693
428,-0.5077
429,-0.4288
430,-0.4903
431,-0.2208
432,-0.2245
433,-0.3195
434,-0.1872
435,-0.1092
436,-0.145
437,-0.012
438,0.01
439,-0.0602
440,0.2221
441,0.8633
442,4.3865
443,10.4764
444,15.3673
445,17.6195
446,17.6296
447,13.7368
448,12.4579
449,11.6146
450,9.8663
451,8.458
452,7.6794
